epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6649,0.88261,3.04439,1.29958,0.00152,0.92857,0.72877,0.54147,0.82473,3.31698,1.63332,0.00053344,0.00053344,0.00053344
2,25.036,1.04564,2.16616,1.38963,0.62417,0.2,0.22012,0.13081,1.5633,4.67371,2.82785,0.00107282,0.00107282,0.00107282
3,30.1577,1.08696,2.02552,1.37339,0.41776,0.37143,0.369,0.24972,1.49526,8.58709,3.05089,0.00160131,0.00160131,0.00160131
4,35.1591,1.02866,1.88675,1.3422,0.45275,0.36429,0.40998,0.24877,3.11753,4.50537,3.89686,0.00161749,0.00161749,0.00161749
5,40.2479,0.99943,1.67545,1.33928,0.56722,0.21429,0.03976,0.01655,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,45.179,0.99975,1.5528,1.31663,0.65003,0.3,0.21223,0.17303,3.22637,8.51824,2.9128,0.00158448,0.00158448,0.00158448
7,50.2565,0.9526,1.42496,1.30868,0.54194,0.73571,0.60466,0.38487,1.81043,3.11786,2.93188,0.00156798,0.00156798,0.00156798
8,55.338,0.90348,1.23277,1.23311,0.77554,0.70714,0.78672,0.58465,0.81224,2.21027,1.46227,0.00155148,0.00155148,0.00155148
9,60.292,0.91208,1.20216,1.2831,0.63749,0.75714,0.56239,0.36514,0.87822,1.97488,1.57225,0.00153497,0.00153497,0.00153497
10,65.2372,0.89099,1.13488,1.23263,0.70856,0.65803,0.63956,0.50694,0.92491,3.02546,1.64435,0.00151847,0.00151847,0.00151847
11,70.2629,0.82825,1.03635,1.20404,0.67658,0.69496,0.65435,0.48869,1.2047,2.67451,2.20888,0.00150197,0.00150197,0.00150197
12,75.2941,0.87411,1.13608,1.22882,0.85159,0.85287,0.83326,0.64434,0.84663,1.18138,1.49558,0.00148546,0.00148546,0.00148546
13,80.3071,0.84477,0.98794,1.18246,0.60692,0.73571,0.70989,0.51437,1.76978,3.48745,2.10961,0.00146896,0.00146896,0.00146896
14,85.3025,0.84431,1.02171,1.17671,0.56043,0.84193,0.76029,0.56916,0.89538,1.53117,1.49651,0.00145246,0.00145246,0.00145246
15,90.1798,0.82812,0.94522,1.20971,0.62953,0.80714,0.72434,0.42368,1.31186,2.01825,1.9444,0.00143595,0.00143595,0.00143595
16,95.0567,0.77572,1.00142,1.137,0.8237,0.90645,0.84621,0.68729,0.81694,1.12622,1.43209,0.00141945,0.00141945,0.00141945
17,100.131,0.7765,0.91922,1.14345,0.84589,0.64286,0.6,0.48683,1.49531,1.98438,1.67725,0.00140295,0.00140295,0.00140295
18,105.138,0.75788,0.84478,1.11314,0.87553,0.92122,0.87148,0.71475,0.63684,0.95834,1.2833,0.00138644,0.00138644,0.00138644
19,110.135,0.78139,0.85496,1.16337,0.88862,0.83051,0.86454,0.69535,0.61147,1.15905,1.28134,0.00136994,0.00136994,0.00136994
