epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5128,0.90761,2.9384,1.38156,0.78566,0.04167,0.50765,0.25606,1.18096,3.24522,2.00412,0.000467827,0.000467827,0.000467827
2,44.5737,1.13019,2.3519,1.50481,0.60666,0.39934,0.50284,0.24711,1.38844,3.77031,2.16569,0.000934814,0.000934814,0.000934814
3,52.3425,1.15507,2.35662,1.53686,0.31038,0.32413,0.1858,0.07367,2.51343,12.206,3.66512,0.00139237,0.00139237,0.00139237
4,60.0202,1.18629,2.11894,1.55376,0.61772,0.08333,0.10245,0.07887,2.76218,8.85076,3.33196,0.00138656,0.00138656,0.00138656
5,67.7797,1.21115,1.94956,1.57112,0.27692,0.40206,0.30708,0.15308,1.60251,3.61199,2.09688,0.00137241,0.00137241,0.00137241
6,75.5903,1.12516,1.78754,1.50988,0.38568,0.4908,0.38717,0.19702,1.49835,3.2653,2.22733,0.00135826,0.00135826,0.00135826
7,83.1837,1.1214,1.69841,1.5064,0.47119,0.66558,0.52275,0.31459,1.33592,3.19755,1.92317,0.00134412,0.00134412,0.00134412
8,90.906,1.03526,1.53655,1.42782,0.62487,0.74213,0.64797,0.36131,1.39386,3.39088,2.03588,0.00132997,0.00132997,0.00132997
9,98.6597,1.01805,1.4972,1.41599,0.50215,0.65857,0.56756,0.40409,1.14951,2.2548,1.76934,0.00131582,0.00131582,0.00131582
10,106.448,0.92864,1.31726,1.36216,0.68749,0.76082,0.74328,0.51866,0.94122,1.70167,1.60205,0.00130168,0.00130168,0.00130168
11,114.323,1.01272,1.34169,1.42865,0.66446,0.5729,0.68109,0.4816,1.18777,1.94234,1.71781,0.00128753,0.00128753,0.00128753
12,122.033,0.92406,1.23829,1.33803,0.7514,0.68378,0.74157,0.52153,1.0595,1.29853,1.63321,0.00127338,0.00127338,0.00127338
13,129.586,0.9147,1.16805,1.32666,0.70586,0.7794,0.73691,0.55021,1.04963,1.25702,1.64218,0.00125923,0.00125923,0.00125923
14,137.294,0.94352,1.19764,1.33973,0.78871,0.77251,0.79962,0.6362,0.86931,1.39873,1.51545,0.00124509,0.00124509,0.00124509
15,145.007,0.88511,1.12259,1.31284,0.82802,0.75331,0.79759,0.60168,0.89512,1.11401,1.46263,0.00123094,0.00123094,0.00123094
16,152.599,0.8994,1.08923,1.29674,0.70447,0.94062,0.74783,0.55304,0.90499,1.46542,1.57224,0.00121679,0.00121679,0.00121679
17,160.346,0.85206,1.0594,1.28486,0.66467,0.84642,0.76381,0.55229,0.94308,1.28672,1.45573,0.00120265,0.00120265,0.00120265
18,168.066,0.78168,0.97701,1.22483,0.87243,0.71297,0.80677,0.59123,0.95,1.1539,1.46065,0.0011885,0.0011885,0.0011885
19,175.882,0.88849,0.97386,1.27971,0.7478,0.91058,0.83122,0.69743,0.71662,0.88334,1.30462,0.00117435,0.00117435,0.00117435
20,183.629,0.80498,0.93055,1.23448,0.77817,0.698,0.79315,0.56851,0.83253,1.08668,1.37432,0.00116021,0.00116021,0.00116021
21,191.46,0.78828,0.93436,1.22862,0.86423,0.77219,0.84226,0.63349,0.95523,1.02225,1.54777,0.00114606,0.00114606,0.00114606
22,199.098,0.80422,0.8909,1.2501,0.71363,0.91071,0.85014,0.63735,0.84986,0.89842,1.42331,0.00113191,0.00113191,0.00113191
23,206.834,0.79792,0.86726,1.242,0.74825,0.82592,0.81162,0.65084,0.83201,0.96657,1.41317,0.00111776,0.00111776,0.00111776
24,214.548,0.76794,0.87214,1.20795,0.71203,0.84971,0.80842,0.62905,0.76294,1.0844,1.30605,0.00110362,0.00110362,0.00110362
25,222.266,0.76159,0.85908,1.21083,0.86743,0.86854,0.84367,0.70479,0.8126,0.94745,1.37401,0.00108947,0.00108947,0.00108947
26,229.954,0.71581,0.80927,1.17883,0.77632,0.7668,0.74813,0.57297,0.82081,1.27765,1.39555,0.00107532,0.00107532,0.00107532
27,237.6,0.76369,0.80651,1.19878,0.77532,0.83279,0.83439,0.65878,0.84126,0.83208,1.4456,0.00106118,0.00106118,0.00106118
28,245.186,0.7287,0.81852,1.17429,0.774,0.92638,0.86045,0.72271,0.70406,0.9162,1.27479,0.00104703,0.00104703,0.00104703
29,253.002,0.68044,0.78296,1.1715,0.87496,0.79113,0.82124,0.66599,0.71987,0.87284,1.26177,0.00103288,0.00103288,0.00103288
30,260.709,0.72742,0.80076,1.19018,0.80333,0.8631,0.85542,0.68658,0.80647,0.94745,1.47649,0.00101873,0.00101873,0.00101873
31,268.313,0.6824,0.75197,1.14529,0.75316,0.95238,0.87664,0.70889,0.81987,0.7356,1.40013,0.00100459,0.00100459,0.00100459
32,276.096,0.72193,0.76927,1.18935,0.84649,0.94087,0.85323,0.7074,0.75755,0.68982,1.31257,0.00099044,0.00099044,0.00099044
33,283.634,0.68674,0.757,1.16034,0.71615,0.875,0.87686,0.68944,0.81531,0.85684,1.39689,0.000976293,0.000976293,0.000976293
34,291.318,0.70755,0.74416,1.17124,0.77496,0.84658,0.83766,0.67221,0.80577,0.88803,1.42689,0.000962146,0.000962146,0.000962146
35,299.141,0.65899,0.68636,1.15845,0.80194,0.867,0.82484,0.68621,0.74553,1.01886,1.3528,0.000947999,0.000947999,0.000947999
36,306.83,0.68586,0.69406,1.14585,0.83696,0.95238,0.86037,0.65572,0.87136,0.71871,1.43389,0.000933851,0.000933851,0.000933851
37,314.617,0.63435,0.67707,1.13146,0.91797,0.76617,0.89275,0.73354,0.8115,0.6334,1.42132,0.000919704,0.000919704,0.000919704
38,322.329,0.63922,0.62526,1.11578,0.66384,0.82179,0.78875,0.68443,0.69752,0.92835,1.30858,0.000905557,0.000905557,0.000905557
39,329.929,0.62033,0.64625,1.12358,0.93254,0.85167,0.90929,0.76966,0.70443,0.67614,1.27955,0.00089141,0.00089141,0.00089141
40,337.751,0.65681,0.65047,1.12812,0.84843,0.92754,0.89214,0.75601,0.66604,0.83205,1.25307,0.000877263,0.000877263,0.000877263
41,345.434,0.60166,0.60831,1.09719,0.87169,0.91071,0.92699,0.77149,0.74381,0.6379,1.3506,0.000863116,0.000863116,0.000863116
42,353.242,0.64903,0.65715,1.12745,0.80632,0.90476,0.85694,0.70721,0.76717,0.77365,1.33048,0.000848969,0.000848969,0.000848969
